Date : 2023-03-30 01:49:36
Directory : c:\Users\kb674\OneDrive\Документы\TelegramProject\Frontend\telegram\src
Total : 107 files,  5469 codes, 54 comments, 712 blanks, all 6235 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| JavaScript |        105 |      5,385 |         53 |        699 |      6,137 |
| PostCSS    |          1 |         67 |          1 |         12 |         80 |
| XML        |          1 |         17 |          0 |          1 |         18 |
+------------+------------+------------+------------+------------+------------+

Directories
+---------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                      | files      | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                         |        107 |      5,469 |         54 |        712 |      6,235 |
| . (Files)                                                                                                                 |          3 |        173 |          1 |         23 |        197 |
| Assets                                                                                                                    |          1 |         17 |          0 |          1 |         18 |
| Components                                                                                                                |         93 |      4,822 |         53 |        616 |      5,491 |
| Components (Files)                                                                                                        |          4 |        276 |          8 |         37 |        321 |
| Components\AuthComponents                                                                                                 |         11 |        962 |          7 |        126 |      1,095 |
| Components\Icons                                                                                                          |         35 |      1,051 |          0 |         68 |      1,119 |
| Components\InfoContainer                                                                                                  |          3 |        212 |          1 |         33 |        246 |
| Components\MessageContainer                                                                                               |         13 |        527 |         31 |         84 |        642 |
| Components\SideBar                                                                                                        |         27 |      1,794 |          6 |        268 |      2,068 |
| Services                                                                                                                  |         10 |        457 |          0 |         72 |        529 |
+---------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+---------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| filename                                                                                                                  | language   | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| c:\Users\kb674\OneDrive\Документы\TelegramProject\Frontend\telegram\src\App.js                                            | JavaScript |         95 |          0 |          9 |        104 |
| c:\Users\kb674\OneDrive\Документы\TelegramProject\Frontend\telegram\src\Assets\Logo.svg                                   | XML        |         17 |          0 |          1 |         18 |
| c:\Users\kb674\OneDrive\Документы\TelegramProject\Frontend\telegram\src\Components\AuthComponents\EmailVerification.js    | JavaScript |         50 |          0 |          6 |         56 |
| c:\Users\kb674\OneDrive\Документы\TelegramProject\Frontend\telegram\src\Components\AuthComponents\EnterCode.js            | JavaScript |        213 |          0 |         22 |        235 |
| c:\Users\kb674\OneDrive\Документы\TelegramProject\Frontend\telegram\src\Components\AuthComponents\EnterEmail.js           | JavaScript |         79 |          1 |         13 |         93 |
| c:\Users\kb674\OneDrive\Документы\TelegramProject\Frontend\telegram\src\Components\AuthComponents\LoginForm.js            | JavaScript |         99 |          0 |         25 |        124 |
| c:\Users\kb674\OneDrive\Документы\TelegramProject\Frontend\telegram\src\Components\AuthComponents\NewPassword.js          | JavaScript |         37 |          0 |          5 |         42 |
