"filename", "language", "JavaScript", "PostCSS", "XML", "comment", "blank", "total"
"c:\Users\kb674\OneDrive\Документы\TelegramProject\Frontend\telegram\src\App.js", "JavaScript", 107, 0, 0, 0, 13, 120
"c:\Users\kb674\OneDrive\Документы\TelegramProject\Frontend\telegram\src\Assets\Logo.svg", "XML", 0, 0, 17, 0, 1, 18
"c:\Users\kb674\OneDrive\Документы\TelegramProject\Frontend\telegram\src\Components\AuthComponents\EmailVerification.js", "JavaScript", 52, 0, 0, 0, 6, 58
"c:\Users\kb674\OneDrive\Документы\TelegramProject\Frontend\telegram\src\Components\AuthComponents\EnterCode.js", "JavaScript", 213, 0, 0, 0, 21, 234
"c:\Users\kb674\OneDrive\Документы\TelegramProject\Frontend\telegram\src\Components\AuthComponents\EnterEmail.js", "JavaScript", 79, 0, 0, 1, 12, 92
"c:\Users\kb674\OneDrive\Документы\TelegramProject\Frontend\telegram\src\Components\AuthComponents\LoginForm.js", "JavaScript", 106, 0, 0, 0, 13, 119
"c:\Users\kb674\OneDrive\Документы\TelegramProject\Frontend\telegram\src\Components\AuthComponents\NewPassword.js", "JavaScript", 47, 0, 0, 0, 4, 51
"c:\Users\kb674\OneDrive\Документы\TelegramProject\Frontend\telegram\src\Components\AuthComponents\RegForm.js", "JavaScript", 121, 0, 0, 5, 5, 131
"c:\Users\kb674\OneDrive\Документы\TelegramProject\Frontend\telegram\src\Components\AuthComponents\SetNewPassword.js", "JavaScript", 127, 0, 0, 0, 15, 142
"c:\Users\kb674\OneDrive\Документы\TelegramProject\Frontend\telegram\src\Components\AuthComponents\SignIn.js", "JavaScript", 12, 0, 0, 0, 2, 14
"c:\Users\kb674\OneDrive\Документы\TelegramProject\Frontend\telegram\src\Components\AuthComponents\SignUp.js", "JavaScript", 178, 0, 0, 1, 19, 198
"c:\Users\kb674\OneDrive\Документы\TelegramProject\Frontend\telegram\src\Components\AuthComponents\SignUpFinish.js", "JavaScript", 24, 0, 0, 0, 5, 29
"c:\Users\kb674\OneDrive\Документы\TelegramProject\Frontend\telegram\src\Components\AuthComponents\StartPage.js", "JavaScript", 27, 0, 0, 0, 4, 31
"c:\Users\kb674\OneDrive\Документы\TelegramProject\Frontend\telegram\src\Components\ColorRadioButton.js", "JavaScript", 84, 0, 0, 1, 5, 90
"c:\Users\kb674\OneDrive\Документы\TelegramProject\Frontend\telegram\src\Components\Icons\AddPicture.js", "JavaScript", 36, 0, 0, 0, 1, 37
"c:\Users\kb674\OneDrive\Документы\TelegramProject\Frontend\telegram\src\Components\Icons\Ahtung.js", "JavaScript", 32, 0, 0, 0, 1, 33
"c:\Users\kb674\OneDrive\Документы\TelegramProject\Frontend\telegram\src\Components\Icons\BackArrowIcon.js", "JavaScript", 22, 0, 0, 0, 2, 24
"c:\Users\kb674\OneDrive\Документы\TelegramProject\Frontend\telegram\src\Components\Icons\BanIcon.js", "JavaScript", 28, 0, 0, 0, 2, 30
"c:\Users\kb674\OneDrive\Документы\TelegramProject\Frontend\telegram\src\Components\Icons\BugIcon.js", "JavaScript", 70, 0, 0, 0, 2, 72
"c:\Users\kb674\OneDrive\Документы\TelegramProject\Frontend\telegram\src\Components\Icons\CameraIcon.js", "JavaScript", 33, 0, 0, 0, 2, 35
"c:\Users\kb674\OneDrive\Документы\TelegramProject\Frontend\telegram\src\Components\Icons\CloseIcon.js", "JavaScript", 32, 0, 0, 0, 4, 36
"c:\Users\kb674\OneDrive\Документы\TelegramProject\Frontend\telegram\src\Components\Icons\Copy.js", "JavaScript", 23, 0, 0, 0, 1, 24
"c:\Users\kb674\OneDrive\Документы\TelegramProject\Frontend\telegram\src\Components\Icons\DotsIcon.js", "JavaScript", 13, 0, 0, 0, 2, 15
"c:\Users\kb674\OneDrive\Документы\TelegramProject\Frontend\telegram\src\Components\Icons\EnterIcon.js", "JavaScript", 31, 0, 0, 0, 4, 35
"c:\Users\kb674\OneDrive\Документы\TelegramProject\Frontend\telegram\src\Components\Icons\FlagIcon.js", "JavaScript", 28, 0, 0, 0, 2, 30
"c:\Users\kb674\OneDrive\Документы\TelegramProject\Frontend\telegram\src\Components\Icons\Forward.js", "JavaScript", 23, 0, 0, 0, 2, 25
"c:\Users\kb674\OneDrive\Документы\TelegramProject\Frontend\telegram\src\Components\Icons\ForwardArrowIcon.js", "JavaScript", 22, 0, 0, 0, 2, 24
"c:\Users\kb674\OneDrive\Документы\TelegramProject\Frontend\telegram\src\Components\Icons\Hamburger.js", "JavaScript", 29, 0, 0, 0, 1, 30
"c:\Users\kb674\OneDrive\Документы\TelegramProject\Frontend\telegram\src\Components\Icons\InfoIcon.js", "JavaScript", 34, 0, 0, 0, 1, 35
"c:\Users\kb674\OneDrive\Документы\TelegramProject\Frontend\telegram\src\Components\Icons\LinkIcon.js", "JavaScript", 16, 0, 0, 0, 2, 18
"c:\Users\kb674\OneDrive\Документы\TelegramProject\Frontend\telegram\src\Components\Icons\LogoutIcon.js", "JavaScript", 28, 0, 0, 0, 2, 30
"c:\Users\kb674\OneDrive\Документы\TelegramProject\Frontend\telegram\src\Components\Icons\MailIcon.js", "JavaScript", 34, 0, 0, 0, 1, 35
"c:\Users\kb674\OneDrive\Документы\TelegramProject\Frontend\telegram\src\Components\Icons\MoonIcon.js", "JavaScript", 16, 0, 0, 0, 2, 18
"c:\Users\kb674\OneDrive\Документы\TelegramProject\Frontend\telegram\src\Components\Icons\NewTab.js", "JavaScript", 36, 0, 0, 0, 2, 38
"c:\Users\kb674\OneDrive\Документы\TelegramProject\Frontend\telegram\src\Components\Icons\PenIcon.js", "JavaScript", 56, 0, 0, 0, 4, 60
"c:\Users\kb674\OneDrive\Документы\TelegramProject\Frontend\telegram\src\Components\Icons\PeopleIcon.js", "JavaScript", 22, 0, 0, 0, 1, 23
"c:\Users\kb674\OneDrive\Документы\TelegramProject\Frontend\telegram\src\Components\Icons\PeoplesIcon.js", "JavaScript", 34, 0, 0, 0, 1, 35
"c:\Users\kb674\OneDrive\Документы\TelegramProject\Frontend\telegram\src\Components\Icons\PhoneIcon.js", "JavaScript", 16, 0, 0, 0, 2, 18
"c:\Users\kb674\OneDrive\Документы\TelegramProject\Frontend\telegram\src\Components\Icons\PinIcon.js", "JavaScript", 23, 0, 0, 0, 2, 25
"c:\Users\kb674\OneDrive\Документы\TelegramProject\Frontend\telegram\src\Components\Icons\PreviewClose.js", "JavaScript", 29, 0, 0, 0, 2, 31
"c:\Users\kb674\OneDrive\Документы\TelegramProject\Frontend\telegram\src\Components\Icons\PreviewOpen.js", "JavaScript", 23, 0, 0, 0, 2, 25
"c:\Users\kb674\OneDrive\Документы\TelegramProject\Frontend\telegram\src\Components\Icons\RecicleIcon.js", "JavaScript", 38, 0, 0, 0, 2, 40
"c:\Users\kb674\OneDrive\Документы\TelegramProject\Frontend\telegram\src\Components\Icons\Reply.js", "JavaScript", 23, 0, 0, 0, 2, 25
"c:\Users\kb674\OneDrive\Документы\TelegramProject\Frontend\telegram\src\Components\Icons\SavedIcon.js", "JavaScript", 29, 0, 0, 0, 4, 33
"c:\Users\kb674\OneDrive\Документы\TelegramProject\Frontend\telegram\src\Components\Icons\SearchIcon.js", "JavaScript", 35, 0, 0, 0, 4, 39
"c:\Users\kb674\OneDrive\Документы\TelegramProject\Frontend\telegram\src\Components\Icons\SelectAll.js", "JavaScript", 29, 0, 0, 0, 1, 30
"c:\Users\kb674\OneDrive\Документы\TelegramProject\Frontend\telegram\src\Components\Icons\SettingIcon.js", "JavaScript", 22, 0, 0, 0, 2, 24
"c:\Users\kb674\OneDrive\Документы\TelegramProject\Frontend\telegram\src\Components\Icons\SmileIcon.js", "JavaScript", 34, 0, 0, 0, 2, 36
"c:\Users\kb674\OneDrive\Документы\TelegramProject\Frontend\telegram\src\Components\Icons\SpeakerIcon.js", "JavaScript", 44, 0, 0, 0, 2, 46
"c:\Users\kb674\OneDrive\Документы\TelegramProject\Frontend\telegram\src\Components\Icons\SunIcon.js", "JavaScript", 48, 0, 0, 0, 2, 50
"c:\Users\kb674\OneDrive\Документы\TelegramProject\Frontend\telegram\src\Components\Icons\VolumeMuteIcon.js", "JavaScript", 42, 0, 0, 0, 2, 44
"c:\Users\kb674\OneDrive\Документы\TelegramProject\Frontend\telegram\src\Components\Icons\VolumeOnIcon.js", "JavaScript", 27, 0, 0, 0, 2, 29
"c:\Users\kb674\OneDrive\Документы\TelegramProject\Frontend\telegram\src\Components\InfoContainer\InfoContainer.js", "JavaScript", 90, 0, 0, 0, 6, 96
