"filename", "language", "JavaScript", "PostCSS", "comment", "blank", "total"
"c:\Users\kb674\OneDrive\Документы\TelegramProject\Frontend\telegram\src\App.js", "JavaScript", -1, 0, 0, 2, 1
"c:\Users\kb674\OneDrive\Документы\TelegramProject\Frontend\telegram\src\Components\AuthComponents\EmailVerification.js", "JavaScript", -52, 0, 0, -6, -58
"c:\Users\kb674\OneDrive\Документы\TelegramProject\Frontend\telegram\src\Components\AuthComponents\EnterCode.js", "JavaScript", 14, 0, 0, 2, 16
"c:\Users\kb674\OneDrive\Документы\TelegramProject\Frontend\telegram\src\Components\AuthComponents\EnterEmail.js", "JavaScript", 9, 0, 0, 1, 10
"c:\Users\kb674\OneDrive\Документы\TelegramProject\Frontend\telegram\src\Components\AuthComponents\LoginForm.js", "JavaScript", 6, 0, 0, 1, 7
"c:\Users\kb674\OneDrive\Документы\TelegramProject\Frontend\telegram\src\Components\AuthComponents\NewPassword.js", "JavaScript", -47, 0, 0, -4, -51
"c:\Users\kb674\OneDrive\Документы\TelegramProject\Frontend\telegram\src\Components\AuthComponents\RegForm.js", "JavaScript", -121, 0, -5, -5, -131
"c:\Users\kb674\OneDrive\Документы\TelegramProject\Frontend\telegram\src\Components\AuthComponents\SetNewPassword.js", "JavaScript", 15, 0, 0, 6, 21
"c:\Users\kb674\OneDrive\Документы\TelegramProject\Frontend\telegram\src\Components\AuthComponents\SignIn.js", "JavaScript", 3, 0, 0, 5, 8
"c:\Users\kb674\OneDrive\Документы\TelegramProject\Frontend\telegram\src\Components\AuthComponents\SignUp.js", "JavaScript", 7, 0, 0, 3, 10
"c:\Users\kb674\OneDrive\Документы\TelegramProject\Frontend\telegram\src\Components\AuthComponents\SignUpFinish.js", "JavaScript", 9, 0, 0, 1, 10
"c:\Users\kb674\OneDrive\Документы\TelegramProject\Frontend\telegram\src\Components\AuthComponents\StartPage.js", "JavaScript", 50, 0, 0, 6, 56
"c:\Users\kb674\OneDrive\Документы\TelegramProject\Frontend\telegram\src\Components\ColorRadioButton.js", "JavaScript", 0, 0, -1, 5, 4
"c:\Users\kb674\OneDrive\Документы\TelegramProject\Frontend\telegram\src\Components\Icons\ColorThemeIcon.js", "JavaScript", 127, 0, 0, 1, 128
"c:\Users\kb674\OneDrive\Документы\TelegramProject\Frontend\telegram\src\Components\Icons\LanguageIcon.js", "JavaScript", 54, 0, 0, 2, 56
"c:\Users\kb674\OneDrive\Документы\TelegramProject\Frontend\telegram\src\Components\InfoContainer\InfoContainer.js", "JavaScript", 6, 0, 0, 1, 7
"c:\Users\kb674\OneDrive\Документы\TelegramProject\Frontend\telegram\src\Components\InfoContainer\RightMenu.js", "JavaScript", 6, 0, 0, 1, 7
"c:\Users\kb674\OneDrive\Документы\TelegramProject\Frontend\telegram\src\Components\MainPage.js", "JavaScript", 71, 0, 6, 14, 91
"c:\Users\kb674\OneDrive\Документы\TelegramProject\Frontend\telegram\src\Components\MessageContainer\InfoBlock.js", "JavaScript", 6, 0, 0, 1, 7
"c:\Users\kb674\OneDrive\Документы\TelegramProject\Frontend\telegram\src\Components\MessageContainer\InputPanel.js", "JavaScript", 14, 0, 2, 4, 20
"c:\Users\kb674\OneDrive\Документы\TelegramProject\Frontend\telegram\src\Components\MessageContainer\MainChat.js", "JavaScript", 3, 0, 1, 2, 6
"c:\Users\kb674\OneDrive\Документы\TelegramProject\Frontend\telegram\src\Components\MessageContainer\Message.js", "JavaScript", 3, 0, 0, -1, 2
